carbon,smiles,InChIKey,MolWt,LogP,TPSA,HBD,HBA,RotBonds,RingCount,HeavyAtom
ile__L_e,CC[C@H](C)[C@H](N)C(=O)O,AGPKZVBTJJNPAG-WHFBIAKZSA-N,131.17499999999995,0.44439999999999996,63.31999999999999,2,2,3,0,9
inost_e,O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)[C@@H](O)[C@@H]1OP(=O)(O)O,MRVYFOANPDTYBY-UZAAGFTCSA-N,500.07200000000006,-3.366600000000001,307.5,10,10,8,1,28
leu__L_e,CC(C)C[C@H](N)C(=O)O,ROHFNLRQFUQHCH-YFKPBYRVSA-N,131.17499999999995,0.44439999999999996,63.31999999999999,2,2,3,0,9
lys__L_e,NCCCC[C@H](N)C(=O)O,KDXKERNSBIXSRK-YFKPBYRVSA-N,146.19,-0.47269999999999873,89.34,3,3,5,0,10
malt_e,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,GUBGYTABKSRVRQ-PICCSMPSSA-N,342.297,-5.397199999999994,189.52999999999997,8,11,4,2,23
man_e,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-QTVWNMPRSA-N,180.156,-3.2213999999999987,110.38000000000001,5,6,1,1,12
meoh_e,CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,32.042,-0.3915,20.23,1,1,0,0,2
met__L_e,CSCC[C@H](N)C(=O)O,FFEARJCKVFRZRR-BYPYZUCNSA-N,149.215,0.15140000000000003,63.31999999999999,2,3,4,0,9
methylamine_e,CN,BAVYZALUXZFZLV-UHFFFAOYSA-N,31.058,-0.4251,26.02,1,1,0,0,2
mnl_e,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,FBPFZTCFMRRESA-KVTDHHQDSA-N,182.172,-3.585399999999998,121.38000000000001,6,6,5,0,12
orn__L_e,NCCC[C@H](N)C(=O)O,AHLPHDHHMVZTML-BYPYZUCNSA-N,132.16299999999998,-0.8627999999999987,89.33999999999999,3,3,4,0,9
oxal_e,O=C([O-])C(=O)[O-],MUBZPKHOEPUJKR-UHFFFAOYSA-L,88.018,-3.5138000000000003,80.26,0,4,0,0,6
phe__L_e,N[C@@H](Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-QMMMGPOBSA-N,165.19199999999998,0.641,63.31999999999999,2,2,3,1,12
pro__L_e,O=C(O)[C@@H]1CCCN1,ONIBWKKTOPOVIA-BYPYZUCNSA-N,115.13199999999999,-0.17700000000000032,49.33,2,2,1,1,8
pyr_e,CC(=O)C(=O)[O-],LCTONWCANYUPML-UHFFFAOYSA-M,87.05399999999999,-1.6747000000000003,57.2,0,3,1,0,6
ser__L_e,N[C@@H](CO)C(=O)O,MTCFGRXMJLQNBG-REOHCLBHSA-N,105.09299999999999,-1.6093999999999995,83.55,3,3,2,0,7
succ_e,O=C([O-])CCC(=O)[O-],KDYFGRWQOYBRFD-UHFFFAOYSA-L,116.07199999999999,-2.733599999999999,80.25999999999999,0,4,3,0,8
sucr_e,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,CZMRCDWAGMRECN-UGDNZRGBSA-N,342.297,-5.395599999999995,189.52999999999997,8,11,5,2,23
thr__L_e,C[C@@H](O)[C@H](N)C(=O)O,AYFVYJQAPQTCCC-GBXIJSLDSA-N,119.11999999999999,-1.2208999999999997,83.55,3,3,2,0,8
tre_e,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,HDTRYLNUVZCQOY-LIZSDCNHSA-N,342.297,-5.3971999999999944,189.52999999999997,8,11,4,2,23
trp__L_e,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,QIVBCDIJIAJPQS-VIFPVBQESA-N,204.22899999999996,1.1222999999999996,79.11,3,2,3,2,15
tyr__L_e,N[C@@H](Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-QMMMGPOBSA-N,181.19099999999997,0.3465999999999994,83.55,3,3,3,1,13
val__L_e,CC(C)[C@H](N)C(=O)O,KZSNJWFQEVHDMF-BYPYZUCNSA-N,117.148,0.05430000000000007,63.31999999999999,2,2,2,0,8
xyl__D_e,OC1OC[C@@H](O)[C@H](O)[C@H]1O,SRBFZHDQGSBBOR-IOVATXLUSA-N,150.13,-2.5823,90.15,4,5,0,1,10
